checkpoint,layer,position,pseudo_source,t,off_axis,t_refused,t_answered,entanglement,cos_vbeh_vref,cos_vbeh_vover,cos_vbeh_vover_orth,n_harmless,n_harmful,n_refused,n_answered,pseudo_read_harmful,t_lo,t_hi,off_axis_lo,off_axis_hi,t_refused_lo,t_refused_hi,t_answered_lo,t_answered_hi,entanglement_lo,entanglement_hi,cos_vbeh_vref_lo,cos_vbeh_vref_hi,cos_vbeh_vover_lo,cos_vbeh_vover_hi,cos_vbeh_vover_orth_lo,cos_vbeh_vover_orth_hi
dpo__none,24,post_instr_4,xstest,0.06345446151883197,1.1394242849127478,0.46450830133695603,-0.013301477320424047,0.055603787302970886,0.40683749318122864,0.038254473358392715,0.01565699651837349,1737,1883,40,209,0.06827309236947791,-0.09730429912497048,0.2580909510777878,0.9760354487877885,1.3271985504192068,0.044472463526620244,1.0815948430217552,-0.1575727723053994,0.1931322162917803,-0.08511477597057818,0.22931925542652593,-0.035977131780236954,0.5726269841194153,-0.22105758972465991,0.35790944099426236,-0.22121686711907387,0.275379079580307
dpo__none,24,post_instr_5,all,0.2534852055786114,0.39830811962518614,0.589355576278762,0.07209035458755106,0.5369002223014832,0.7974510192871094,0.49090564250946045,0.07438429445028305,1737,1883,438,811,0.22898318654923938,0.2402125504898383,0.2690718961985487,0.38480324670637567,0.4159850386051049,0.5606776240234609,0.6207176056789991,0.05966038665791264,0.08759794088302164,0.5133927166461945,0.5569496721029281,0.7723945930600167,0.8123821169137955,0.43933369442820547,0.5387181282043457,0.025629983842372896,0.12295863907784223
dpo__none,24,post_instr_5,false_reject,0.47234873243704073,0.540217268729856,0.6337685624721905,0.1561951020355952,0.6582350730895996,0.8372491002082825,0.6105051636695862,0.07890196889638901,1737,1883,331,169,0.458,0.44891648922841193,0.4985864226133898,0.5257861686326477,0.5566336172134818,0.6009024843870271,0.6691268806586977,0.13137754127037946,0.18617460203278352,0.6375407263636589,0.6808189213275909,0.8035382241010666,0.8471680760383605,0.5654388785362243,0.637162996828556,0.03492955854162574,0.12270306237041935
dpo__none,24,post_instr_5,or_bench,0.08982705291423854,0.5052648138270973,0.4497526236900361,0.03413418495302916,0.1750374734401703,0.7676576375961304,-0.12757964432239532,-0.2660559415817261,1737,1883,67,433,0.072,0.07171752839497475,0.11116832706790314,0.4837148322820115,0.531048092829944,0.3728965859475486,0.5328166973795404,0.01842580139011031,0.05338592790146177,0.1374728310853243,0.21596449241042137,0.6874891370534897,0.7930670484900475,-0.20590475350618362,-0.039199619553983434,-0.3314618840813637,-0.18529718220233932
dpo__none,24,post_instr_5,xstest,0.14263105658421918,0.46100636755737595,0.45567323276837235,0.08271868358004707,0.2955676317214966,0.6977360844612122,0.21512693166732788,0.009314922615885735,1737,1883,40,209,0.08433734939759036,0.12266841660269193,0.1656180635406853,0.448685852118073,0.48570430331639125,0.38308128502041094,0.5478150195044829,0.06297051514178661,0.10504936633707154,0.25659937784075737,0.33384300172328946,0.5826313212513924,0.7167458847165108,0.11449559256434441,0.2847620859742162,-0.0638690808787942,0.07749107051640748
dpo__none,24,post_instr_6,all,0.23583718707935744,0.4157797360879142,0.5715328448941556,0.054536690479428045,0.4933745861053467,0.7952609062194824,0.44640183448791504,0.06212835758924484,1737,1883,438,811,0.2177742193755004,0.22134555588054874,0.25201848071910227,0.4012238449287281,0.4359534781019349,0.5415879008987743,0.602664164092207,0.04196132175131003,0.06972329972135217,0.46952381953597067,0.5159853488206864,0.7677669420838356,0.8088310956954956,0.3939584843814373,0.49789153113961215,0.01066958832088858,0.11195492390543213
dpo__none,24,post_instr_6,false_reject,0.460670520620608,0.5548803617388995,0.6234619842041115,0.14183052104475918,0.6387678384780884,0.8266805410385132,0.5754534006118774,0.06160195916891098,1737,1883,331,169,0.45,0.43720237709353527,0.48815341714886923,0.5385533975880421,0.5728681651246599,0.5909452157089232,0.6601586181237277,0.11810948153489652,0.1725344517629071,0.6160312429070472,0.6622260540723801,0.7923492982983589,0.8365102037787437,0.5273730605840683,0.6066471263766289,0.016686068382114172,0.10907766744494435
dpo__none,24,post_instr_6,or_bench,0.0679861770382023,0.5292335126361066,0.4227778533210413,0.013087691070744673,0.1274145543575287,0.7520235776901245,-0.16203093528747559,-0.25996851921081543,1737,1883,67,433,0.058,0.050956921372374835,0.08722369458114548,0.5059998119417777,0.559329427201059,0.3429439281344018,0.5000786727921266,-0.0024544576453999975,0.030558745673179077,0.09478094223886728,0.16318955421447753,0.6684039279818534,0.7789816781878471,-0.26156880855560305,-0.06406604405492554,-0.3501144632697105,-0.17176232561469085
dpo__none,24,post_instr_6,xstest,0.1214148154755296,0.45819397744065643,0.3909839808084072,0.06982263463992684,0.25614526867866516,0.6495316624641418,0.16774305701255798,0.0014158269623294473,1737,1883,40,209,0.07228915662650602,0.10392446842714255,0.14276881773102387,0.4444443612840631,0.484781207685351,0.326374712640695,0.46183146131399494,0.05184599099976973,0.09009266103247662,0.21950130984187127,0.29138395711779597,0.5222269758582115,0.6744174107909202,0.053530478756874805,0.2533746376633643,-0.09239600971341133,0.08865570984780777
dpo__none,24,first_gen,all,0.2255171346352937,0.20851922825385708,0.6590099472280782,-0.00860104377195048,0.7342358827590942,0.8842948079109192,0.7151961326599121,0.09709180891513824,1737,1884,438,811,0.20736589271417133,0.2085598387163256,0.2461537680787369,0.20330208677531966,0.22175577701785476,0.6086063717981955,0.7106944130374474,-0.017405549804482997,0.0024778193260354808,0.6963491305708885,0.7556110233068466,0.8662801742553711,0.8922222778201103,0.6562504053115845,0.7418540835380554,0.05282230470329523,0.12104143649339674
