source,probe,metric,value,train_on,test_on,layer,position
all,group,cv_accuracy,0.8482234545081125,final__none,final__none,24,pre_gen
all,group,majority,0.3869377695625385,final__none,final__none,24,pre_gen
all,behavior,cv_auroc,0.9140166629241301,final__none,final__none,24,pre_gen
all,behavior,refusal_rate,0.33466773418734985,final__none,final__none,24,pre_gen
false_reject,behavior,cv_auroc,0.8831189043369994,final__none,final__none,24,pre_gen
or_bench,behavior,cv_auroc,0.8230358504958047,final__none,final__none,24,pre_gen
xstest,behavior,cv_auroc,0.8145582695345729,final__none,final__none,24,pre_gen
all,group,transfer_accuracy,0.7365158090514569,base__none,sft__none,24,pre_gen
all,behavior,transfer_auroc,0.7253539536148232,base__none,sft__none,24,pre_gen
all,group,transfer_accuracy,0.708829568788501,base__none,dpo__none,24,pre_gen
all,behavior,transfer_auroc,0.7712784825093323,base__none,dpo__none,24,pre_gen
all,group,transfer_accuracy,0.7060998151571165,base__none,final__none,24,pre_gen
all,behavior,transfer_auroc,0.7826018113876749,base__none,final__none,24,pre_gen
all,group,transfer_accuracy,0.9774127310061602,sft__none,dpo__none,24,pre_gen
all,behavior,transfer_auroc,0.9396032858695224,sft__none,dpo__none,24,pre_gen
all,group,transfer_accuracy,0.9749435202300267,sft__none,final__none,24,pre_gen
all,behavior,transfer_auroc,0.9453416935841408,sft__none,final__none,24,pre_gen
all,group,transfer_accuracy,0.9995892380365579,dpo__none,final__none,24,pre_gen
all,behavior,transfer_auroc,0.9726305425526401,dpo__none,final__none,24,pre_gen
all,group,cv_accuracy,0.7595513494567122,base__none,base__none,24,first_gen
all,group,majority,0.33613739922888186,base__none,base__none,24,first_gen
all,behavior,cv_auroc,0.5967866994706629,base__none,base__none,24,first_gen
all,behavior,refusal_rate,0.1772679874869656,base__none,base__none,24,first_gen
false_reject,behavior,cv_auroc,0.5783536585365854,base__none,base__none,24,first_gen
or_bench,behavior,cv_auroc,0.6369248035914703,base__none,base__none,24,first_gen
xstest,behavior,cv_auroc,0.5739051094890512,base__none,base__none,24,first_gen
all,group,cv_accuracy,0.8270303781773094,sft__none,sft__none,24,first_gen
all,group,majority,0.3883033684645588,sft__none,sft__none,24,first_gen
all,behavior,cv_auroc,0.9202062028148983,sft__none,sft__none,24,first_gen
all,behavior,refusal_rate,0.4433734939759036,sft__none,sft__none,24,first_gen
false_reject,behavior,cv_auroc,0.9282741368527743,sft__none,sft__none,24,first_gen
or_bench,behavior,cv_auroc,0.8863037974683544,sft__none,sft__none,24,first_gen
xstest,behavior,cv_auroc,0.718552380952381,sft__none,sft__none,24,first_gen
all,group,cv_accuracy,0.8283367556468173,dpo__none,dpo__none,24,first_gen
all,group,majority,0.3868583162217659,dpo__none,dpo__none,24,first_gen
all,behavior,cv_auroc,0.8910781548232353,dpo__none,dpo__none,24,first_gen
all,behavior,refusal_rate,0.3506805444355484,dpo__none,dpo__none,24,first_gen
false_reject,behavior,cv_auroc,0.8503548508196428,dpo__none,dpo__none,24,first_gen
or_bench,behavior,cv_auroc,0.7783254627555066,dpo__none,dpo__none,24,first_gen
xstest,behavior,cv_auroc,0.7523923444976076,dpo__none,dpo__none,24,first_gen
all,group,cv_accuracy,0.8256315465187923,final__none,final__none,24,first_gen
all,group,majority,0.3869377695625385,final__none,final__none,24,first_gen
all,behavior,cv_auroc,0.8998583593871452,final__none,final__none,24,first_gen
all,behavior,refusal_rate,0.33466773418734985,final__none,final__none,24,first_gen
false_reject,behavior,cv_auroc,0.8767206197689701,final__none,final__none,24,first_gen
or_bench,behavior,cv_auroc,0.7989539065053939,final__none,final__none,24,first_gen
xstest,behavior,cv_auroc,0.7333819419127476,final__none,final__none,24,first_gen
all,group,transfer_accuracy,0.7015912378590617,base__none,sft__none,24,first_gen
all,behavior,transfer_auroc,0.8138841834494008,base__none,sft__none,24,first_gen
all,group,transfer_accuracy,0.6825462012320328,base__none,dpo__none,24,first_gen
all,behavior,transfer_auroc,0.8049057198677995,base__none,dpo__none,24,first_gen
all,group,transfer_accuracy,0.6861778599301704,base__none,final__none,24,first_gen
all,behavior,transfer_auroc,0.810578711300733,base__none,final__none,24,first_gen
all,group,transfer_accuracy,0.9486652977412731,sft__none,dpo__none,24,first_gen
all,behavior,transfer_auroc,0.9294574036225642,sft__none,dpo__none,24,first_gen
all,group,transfer_accuracy,0.9443417539535839,sft__none,final__none,24,first_gen
all,behavior,transfer_auroc,0.938751950437301,sft__none,final__none,24,first_gen
all,group,transfer_accuracy,0.9934278085849251,dpo__none,final__none,24,first_gen
all,behavior,transfer_auroc,0.9653527484612417,dpo__none,final__none,24,first_gen
all,group,cv_accuracy,0.7847879425166492,base__none,base__none,26,pre_gen
all,group,majority,0.33613739922888186,base__none,base__none,26,pre_gen
all,behavior,cv_auroc,0.5717885633340788,base__none,base__none,26,pre_gen
all,behavior,refusal_rate,0.1772679874869656,base__none,base__none,26,pre_gen
false_reject,behavior,cv_auroc,0.5671112804878049,base__none,base__none,26,pre_gen
or_bench,behavior,cv_auroc,0.6399644594089038,base__none,base__none,26,pre_gen
xstest,behavior,cv_auroc,0.4942214111922141,base__none,base__none,26,pre_gen
all,group,cv_accuracy,0.851828890266584,sft__none,sft__none,26,pre_gen
all,group,majority,0.3883033684645588,sft__none,sft__none,26,pre_gen
all,behavior,cv_auroc,0.869980864546082,sft__none,sft__none,26,pre_gen
all,behavior,refusal_rate,0.4433734939759036,sft__none,sft__none,26,pre_gen
false_reject,behavior,cv_auroc,0.8851868624787043,sft__none,sft__none,26,pre_gen
or_bench,behavior,cv_auroc,0.7322278481012657,sft__none,sft__none,26,pre_gen
xstest,behavior,cv_auroc,0.6902857142857144,sft__none,sft__none,26,pre_gen
all,group,cv_accuracy,0.8474332648870636,dpo__none,dpo__none,26,pre_gen
all,group,majority,0.3868583162217659,dpo__none,dpo__none,26,pre_gen
all,behavior,cv_auroc,0.9118822807402778,dpo__none,dpo__none,26,pre_gen
all,behavior,refusal_rate,0.3506805444355484,dpo__none,dpo__none,26,pre_gen
false_reject,behavior,cv_auroc,0.8790646954718533,dpo__none,dpo__none,26,pre_gen
or_bench,behavior,cv_auroc,0.8268932473889213,dpo__none,dpo__none,26,pre_gen
xstest,behavior,cv_auroc,0.7910287081339713,dpo__none,dpo__none,26,pre_gen
all,group,cv_accuracy,0.844731977818854,final__none,final__none,26,pre_gen
all,group,majority,0.3869377695625385,final__none,final__none,26,pre_gen
all,behavior,cv_auroc,0.9170826639950713,final__none,final__none,26,pre_gen
all,behavior,refusal_rate,0.33466773418734985,final__none,final__none,26,pre_gen
false_reject,behavior,cv_auroc,0.8837587327938025,final__none,final__none,26,pre_gen
or_bench,behavior,cv_auroc,0.8343685300207039,final__none,final__none,26,pre_gen
xstest,behavior,cv_auroc,0.8246445497630333,final__none,final__none,26,pre_gen
all,group,transfer_accuracy,0.6902252531514775,base__none,sft__none,26,pre_gen
all,behavior,transfer_auroc,0.627572306920133,base__none,sft__none,26,pre_gen
all,group,transfer_accuracy,0.6486652977412731,base__none,dpo__none,26,pre_gen
all,behavior,transfer_auroc,0.6988863176978645,base__none,dpo__none,26,pre_gen
all,group,transfer_accuracy,0.6420209488601355,base__none,final__none,26,pre_gen
all,behavior,transfer_auroc,0.7120780290075369,base__none,final__none,26,pre_gen
