layer,position,vector,pair,cosine
31,pre_gen,v_ref,base__none->dpo__none,0.18341784179210663
31,pre_gen,v_ref,base__none->final__none,0.17672982811927795
31,pre_gen,v_ref,sft__none->dpo__none,0.9471771717071533
31,pre_gen,v_ref,sft__none->final__none,0.9404575228691101
31,pre_gen,v_ref,dpo__none->final__none,0.9992058277130127
31,pre_gen,v_over,base__none->sft__none,0.3787969946861267
31,pre_gen,v_over,base__none->dpo__none,0.2748289108276367
31,pre_gen,v_over,base__none->final__none,0.26671358942985535
31,pre_gen,v_over,sft__none->dpo__none,0.8792065382003784
31,pre_gen,v_over,sft__none->final__none,0.8641420602798462
31,pre_gen,v_over,dpo__none->final__none,0.9981324076652527
31,first_gen,harmless,base__none->sft__none,0.8934898376464844
31,first_gen,harmless,base__none->dpo__none,0.7378588914871216
31,first_gen,harmless,base__none->final__none,0.7012523412704468
31,first_gen,harmless,sft__none->dpo__none,0.9035378098487854
31,first_gen,harmless,sft__none->final__none,0.8786425590515137
31,first_gen,harmless,dpo__none->final__none,0.9961814880371094
31,first_gen,pseudo_harm,base__none->sft__none,0.8127206563949585
31,first_gen,pseudo_harm,base__none->dpo__none,0.7592805624008179
31,first_gen,pseudo_harm,base__none->final__none,0.744388222694397
31,first_gen,pseudo_harm,sft__none->dpo__none,0.9283503293991089
31,first_gen,pseudo_harm,sft__none->final__none,0.9170863628387451
31,first_gen,pseudo_harm,dpo__none->final__none,0.9986824989318848
31,first_gen,harmful,base__none->sft__none,0.6300054788589478
31,first_gen,harmful,base__none->dpo__none,0.5532206296920776
31,first_gen,harmful,base__none->final__none,0.5385854244232178
31,first_gen,harmful,sft__none->dpo__none,0.9837414026260376
31,first_gen,harmful,sft__none->final__none,0.9794759750366211
31,first_gen,harmful,dpo__none->final__none,0.9993976950645447
31,first_gen,v_ref,base__none->sft__none,0.25202006101608276
31,first_gen,v_ref,base__none->dpo__none,0.21253454685211182
31,first_gen,v_ref,base__none->final__none,0.20936554670333862
31,first_gen,v_ref,sft__none->dpo__none,0.9719358086585999
31,first_gen,v_ref,sft__none->final__none,0.9693058729171753
31,first_gen,v_ref,dpo__none->final__none,0.9993005990982056
31,first_gen,v_over,base__none->sft__none,0.1949816346168518
31,first_gen,v_over,base__none->dpo__none,0.14829979836940765
31,first_gen,v_over,base__none->final__none,0.12826789915561676
31,first_gen,v_over,sft__none->dpo__none,0.9338135123252869
31,first_gen,v_over,sft__none->final__none,0.9230434894561768
31,first_gen,v_over,dpo__none->final__none,0.9951804876327515
