checkpoint,layer,pos,source,grp,n,t,off_axis,t_lo,t_hi,off_lo,off_hi
base__none,31,first_gen,false_reject,pseudo_acc,328,0.9595988136016129,1.839819100044296,0.7915747391957589,1.0886337766710963,1.7014178238989506,1.94223701011877
base__none,31,first_gen,false_reject,pseudo_ref,80,0.9558841258481146,1.8030808143261523,0.7629174189242375,1.1105981432989105,1.6685308036024193,2.0240351877790994
base__none,31,first_gen,or_bench,pseudo_acc,324,0.9380373152935176,1.968504386217824,0.7666939540256844,1.0812975159315246,1.8061675071245376,2.081475371897106
base__none,31,first_gen,or_bench,pseudo_ref,66,1.0936294636392245,1.9240970610813155,0.889009411925849,1.2631122325448199,1.7807297847986991,2.201605344529694
base__none,31,first_gen,xstest,pseudo_acc,236,0.5732804131837659,1.5622740462437321,0.4369226150697698,0.6951696648679532,1.4116176511866716,1.699782168004928
base__none,31,first_gen,xstest,pseudo_ref,80,0.8204272911628192,1.9259708735087184,0.6217259039884973,0.9980841153116241,1.6625445479222047,2.164476225408245
sft__none,8,last_prompt,all,pseudo_all,1445,-0.0264763405382794,0.945209359058996,-0.05598395577973007,0.009336117750979549,0.8894931192385523,0.9947026074218931
sft__none,8,last_prompt,all,pseudo_acc,695,-0.11807581474622901,0.9480884921845321,-0.14648088578391322,-0.07615232561893256,0.8833673568675395,1.00529981031196
sft__none,8,last_prompt,all,pseudo_ref,750,0.05840590063646663,1.0051550491184214,0.02424327129103895,0.09274809314082416,0.9480702792432595,1.0659820225250263
sft__none,8,last_prompt,false_reject,pseudo_acc,123,-0.049865193918261864,1.2607637785284396,-0.09165211678338657,0.0013203388760896612,1.1974668400569433,1.350403941716167
sft__none,8,last_prompt,false_reject,pseudo_ref,377,0.10187204344169098,1.2204135571587342,0.05704281403399716,0.15337997539732903,1.1577174515434419,1.287280087329007
sft__none,8,last_prompt,or_bench,pseudo_acc,395,-0.07388795407066276,1.1697450025417087,-0.10510014021528431,-0.025926669620815374,1.1025013849437528,1.2341297424761908
sft__none,8,last_prompt,or_bench,pseudo_ref,100,0.035061104409060705,1.0917689812240778,-0.006513396816184404,0.09178009464144368,1.0343921884933645,1.1875336137241685
sft__none,8,last_prompt,xstest,pseudo_acc,177,-0.2640877381618109,1.1234262024150952,-0.3031624286801839,-0.21450557915599133,1.0748276572781408,1.1995521485386889
sft__none,8,last_prompt,xstest,pseudo_ref,273,0.0069324277474680784,1.4150236098993219,-0.04005201264430828,0.05751774674525993,1.3347108104359986,1.498434656803179
sft__none,8,first_gen,all,pseudo_all,1445,0.3506444046397668,0.3456575531957208,0.32141475331991193,0.3853544641383977,0.33034150807249923,0.36914308826660597
sft__none,8,first_gen,all,pseudo_acc,695,-0.15594745172036434,0.48237327869149693,-0.17788306371405854,-0.13024002022485784,0.449105059827245,0.5329403358752007
sft__none,8,first_gen,all,pseudo_ref,750,0.8200861821324364,0.3879760932227573,0.790400123901466,0.8535675018003603,0.3745822202904213,0.40905192329477014
sft__none,8,first_gen,false_reject,pseudo_acc,123,-0.07060356536331519,0.5246554513315876,-0.11973741628088959,-0.027147218196786945,0.5067615144687487,0.6148495361573549
sft__none,8,first_gen,false_reject,pseudo_ref,377,0.7969050330275033,0.44704291647080585,0.7432334163687967,0.8467580112062192,0.43457679781436886,0.4708285594136825
sft__none,8,first_gen,or_bench,pseudo_acc,395,-0.22042132130929057,0.7738729953673665,-0.24974974300654998,-0.18585505898546054,0.7108725758201396,0.8637751160984863
sft__none,8,first_gen,or_bench,pseudo_ref,100,0.7778982217514082,0.32677304621451936,0.6561817459182294,0.8879140066599299,0.3175453420460294,0.39629322730628014
sft__none,8,first_gen,xstest,pseudo_acc,177,-0.07137185830928222,0.5594191866105254,-0.1038758824213826,-0.034456376166997135,0.5316114047563236,0.6283470103426694
sft__none,8,first_gen,xstest,pseudo_ref,273,0.8675517215515607,0.5856505288736764,0.8146639234060202,0.9109070644803394,0.5614132526900498,0.6165707745833313
