checkpoint,layer,pos,source,grp,n,t,off_axis,t_lo,t_hi,off_lo,off_hi
dpo__none,8,first_gen,false_reject,pseudo_acc,169,-0.026059144259468932,0.5463692028176359,-0.06714213410193112,0.023596561427836813,0.5229488339354446,0.6136971930772092
dpo__none,8,first_gen,false_reject,pseudo_ref,331,0.7072243736276319,0.42685298636520597,0.6490185217664809,0.7677670020288002,0.4164125874408032,0.4490655155509941
dpo__none,8,first_gen,or_bench,pseudo_acc,433,-0.14927309651804285,0.6431966388469389,-0.17219180041969878,-0.12385369046819465,0.5995012767287904,0.7022466356200084
dpo__none,8,first_gen,or_bench,pseudo_ref,67,0.5539252750889476,0.3914757835396486,0.39687593609677696,0.6871943095376671,0.36506632610998335,0.5111291928715749
dpo__none,8,first_gen,xstest,pseudo_acc,212,-0.03779357576984557,0.5809077883583815,-0.06479561514258331,-0.0015662743368704307,0.5502889259361178,0.6399475762479024
dpo__none,8,first_gen,xstest,pseudo_ref,237,0.9384677543670763,0.5861030524330149,0.8928145357199272,0.9874303293440371,0.5634136895146181,0.6195269315277574
dpo__none,19,last_prompt,all,pseudo_all,1449,0.07641804547672343,1.010421655894579,0.04452823671313265,0.11866686923918732,0.9648196227328243,1.0617046878465841
dpo__none,19,last_prompt,all,pseudo_acc,814,-0.07283469948601455,0.9996950401718931,-0.10141214035413733,-0.02591185898043981,0.950096828940605,1.0532362964122084
dpo__none,19,last_prompt,all,pseudo_ref,635,0.26774360980433,1.1431737263972792,0.2202193324017202,0.31906010865040335,1.0933768788717597,1.2036316026544276
dpo__none,19,last_prompt,false_reject,pseudo_acc,169,-0.015623455312934171,1.2459336365006133,-0.050272106354696415,0.03851082258358539,1.1959164715105182,1.3231085885398228
dpo__none,19,last_prompt,false_reject,pseudo_ref,331,0.2747546551913003,1.231343821738228,0.2254014595713929,0.3321859679238865,1.1726502130236547,1.302430557663517
dpo__none,19,last_prompt,or_bench,pseudo_acc,433,-0.064639759513743,1.198253315502884,-0.09657836107669858,-0.018487131658013897,1.139019853962208,1.2589161350154596
dpo__none,19,last_prompt,or_bench,pseudo_ref,67,0.13512780672936292,1.1795684119280336,0.07651295239899493,0.20128801474513336,1.1247619794098334,1.3166892603454936
